resolution,width,height,count
128x128,128,128,168010
500x375,500,375,42040
500x333,500,333,15788
375x500,375,500,11979
512x512,512,512,8006
333x500,333,500,5331
500x334,500,334,4089
500x332,500,332,2372
500x500,500,500,2231
640x480,640,480,1612
334x500,334,500,1356
500x335,500,335,1349
500x400,500,400,1247
500x374,500,374,1002
800x600,800,600,868
400x300,400,300,811
500x357,500,357,789
332x500,332,500,788
600x450,600,450,593
500x376,500,376,535
400x500,400,500,506
1024x768,1024,768,484
335x500,335,500,450
500x281,500,281,446
500x331,500,331,413
500x336,500,336,372
500x338,500,338,366
500x377,500,377,357
300x300,300,300,341
600x400,600,400,333
